main_id,st_name,dist,dist_name,start_time,end_time,side,from,to,miles,section,one_way,week_1,week_2,week_3,week_4,week_5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,every_day,year_round,north_end_pilot,timestamp,parent,losta,hista
3497,Evans St,7,South Dorchester,08:00,12:00,Even,Milton St,Morton St,0.4612,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:13:24+00,EVANS2,0,2435
3498,Fuller St,7,South Dorchester,08:00,12:00,Odd,Washington St,Morton St,0.5504,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:14:34+00,FULLE1,1903,4809
3499,Fuller St,7,South Dorchester,08:00,12:00,Even,Washington St,Morton St,0.5504,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:16:17+00,FULLE1,1903,4809
3500,Maxwell St,7,South Dorchester,08:00,12:00,Odd,Milton St,Nelson St,0.3125,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:19:51+00,MAXWE1,0,1650
3501,Maxwell St,7,South Dorchester,08:00,12:00,Even,Milton St,Nelson St,0.3125,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:18:29+00,MAXWE1,0,1650
3502,Nelson St,7,South Dorchester,08:00,12:00,Odd,Seldon St,Norfolk St,0.2127,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:20:51+00,NELSO1,0,1123
3503,Nelson St,7,South Dorchester,08:00,12:00,Even,Seldon St,Norfolk St,0.2127,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:21:25+00,NELSO1,0,1123
3504,Ogden St,7,South Dorchester,08:00,12:00,Odd,Fairmount St,Wilmington St,0.0759,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:22:11+00,ODGEN1,0,401
3505,Ogden St,7,South Dorchester,08:00,12:00,Even,Fairmount St,Wilmington St,0.0759,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:23:08+00,OGDEN1,0,401
3506,Chamblet St,3,North Dorchester,12:00,16:00,Odd,Hartford St,Magnolia St,0.0920,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:25:15+00,CHAMB2,0,486
3507,Chamblet St,3,North Dorchester,12:00,16:00,Even,Hartford St,Magnolia St,0.0920,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:25:00+00,CHAMB2,0,486
3508,Cunningham St,3,North Dorchester,12:00,16:00,Odd,Hartford St,Howard St,0.1070,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:26:08+00,CUNNI1,0,565
3509,Cunningham St,3,North Dorchester,12:00,16:00,Even,Hartford St,Howard St,0.1070,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:26:50+00,CUNNI1,0,565
3510,Folsom St,3,North Dorchester,12:00,16:00,Odd,Dudley St,Robin Hood St,0.1623,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:27:48+00,FOLSO1,0,857
3511,Folsom St,3,North Dorchester,12:00,16:00,Even,Dudley St,Robin Hood St,0.1623,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:28:23+00,FOLSO1,0,857
3512,Half Moon St,3,North Dorchester,12:00,16:00,Odd,Lingard St,Magnolia St,0.0900,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-03 18:31:03+00,HALF 1,0,475
3513,Half Moon St,3,North Dorchester,12:00,16:00,Even,Lingard St,Magnolia St,0.0900,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-03 18:31:39+00,HALF 1,0,475
3514,Hartford St,3,North Dorchester,12:00,16:00,Odd,Howard St,Wayland St,0.3384,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-03 18:32:30+00,HARTF2,0,1787
3515,Hartford St,3,North Dorchester,12:00,16:00,Even,Howard St,Wayland St,0.3384,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-03 18:33:08+00,HARTF2,0,1787
3516,Lebanon St,3,North Dorchester,12:00,16:00,Odd,Magnolia St,Alexander St,0.0343,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:31:17+00,LEBAN1,0,181
3517,Lebanon St,3,North Dorchester,12:00,16:00,Even,Magnolia St,Alexander St,0.0343,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:31:53+00,LEBAN1,0,181
3518,Lingard St,3,North Dorchester,12:00,16:00,Odd,Hartford St,Magnolia St,0.1188,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:33:24+00,LINGA1,0,627
3519,Lingard St,3,North Dorchester,12:00,16:00,Even,Hartfold St,Magnolia St,0.1188,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:33:57+00,LINGA1,0,627
3520,Magnolia St,3,North Dorchester,12:00,16:00,Odd,Dudley St,Quincy St,0.4987,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:43:20+00,MAGNO2,0,2633
3521,Magnolia St,3,North Dorchester,12:00,16:00,Even,Dudley St,Quincy St,0.4987,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:43:54+00,MAGNO2,0,2633
3522,Oleander St,3,North Dorchester,12:00,16:00,Odd,Magnolia St,Alexander St,0.0379,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:44:46+00,OLEAN1,0,200
3523,Oleander St,3,North Dorchester,12:00,16:00,Even,Magnolia St,Alexander St,0.0379,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:45:18+00,OLEAN1,0,200
3524,Robin Hood St,3,North Dorchester,12:00,16:00,Odd,Hartford St,Magnolia St,0.1595,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:46:03+00,ROBIN1,0,842
